"File","Status","SignerCertificate","DigestAlgorithm","TimeStamperCertificate","Issuer","Subject","SignatureAlgorithm","ValidFrom","ValidTo"
"Sonova.General.ApplicationTransferer.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"HI-PRO 2 Configuration.exe","Valid"," Natus Medical Denmark ApS","sha256RSA","","CN=Symantec Class 3 SHA256 Code Signing CA, OU=Symantec Trust Network, O=Symantec Corporation, C=US","CN=Natus Medical Denmark ApS, OU=Research and Development Taastrup, O=Natus Medical Denmark ApS, L=Taastrup, C=DK","sha256RSA","02/10/2018 02:00:00","02/10/2020 01:59:59"
"Driver_NLW_V.1.1.0.0.exe","Valid"," HIMSA A/S","sha256RSA","","CN=GlobalSign CodeSigning CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE","CN=HIMSA A/S, OU=IT, O=HIMSA A/S, L=Copenhagen Oe, S=Copenhagen, C=DK","sha256RSA","25/01/2016 11:09:16","25/01/2019 11:09:16"
"NLWUpgrader.exe","Valid"," HIMSA II K/S","sha256RSA","","CN=GlobalSign GCC R45 CodeSigning CA 2020, O=GlobalSign nv-sa, C=BE","E=kpr@himsa.dk, CN=HIMSA II K/S, OU=IT, O=HIMSA II K/S, L=K?benhavn, S=K?benhavn, C=DK","sha256RSA","03/01/2022 17:52:03","04/01/2023 17:52:03"
"TV Connector Upgrader.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"ApplicationPlatform.DriverConsole.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"Sonova.Kona.MeasurementSystem.Imc2.Emulation.Server.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"Sonova.SqlCe.UpgradeConsole.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"Target.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
"TargetBackupTool.exe","Valid"," Sonova AG","sha256RSA","","CN=DigiCert SHA2 Assured ID Code Signing CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=Sonova AG, O=Sonova AG, L=St?fa, C=CH","sha256RSA","26/05/2021 02:00:00","19/07/2024 01:59:59"
